NR_116675	Prauserella
NR_108896	Moorella
NR_163665	Proteus
NR_163664	Aestuariibius
NR_163663	Pseudomaribius
NR_163662	Thalassotalea
NR_163661	Herbaspirillum
NR_163660	Parvibium
NR_163659	Arcobacter
NR_163658	Paraburkholderia
NR_163657	Paracoccus
NR_163656	Comamonas
NR_163655	Roseovarius
NR_163654	Halomonas
NR_163653	Vibrio
NR_163652	Salinisphaera
NR_163651	Phyllobacterium
NR_163650	Halomonas
NR_163649	Rubritalea
NR_163648	Deinococcus
NR_163647	Edaphobacter
NR_163646	Oleiharenicola
NR_163645	Roseisolibacter
NR_163644	Virgibacillus
NR_163643	Bacillus
NR_163642	Paenibacillus
NR_163641	Bacillus
NR_163640	Methylomusa
NR_163639	Veillonella
NR_163638	Blautia
NR_163637	Blautia
NR_163636	Blautia
NR_163635	Blautia
NR_163634	Blautia
NR_163633	Marinicrinis
NR_163632	Aestuariimonas
NR_163631	Flavobacterium
NR_163630	Flavobacterium
NR_163629	Bizionia
NR_163628	Hymenobacter
NR_163627	Pedobacter
NR_163626	Adhaeribacter
NR_163625	Sphingobacterium
NR_163624	Aquimarina
NR_163623	Raineya
NR_163622	Methanolobus
NR_163621	Saccharolobus
NR_163620	Amnibacterium
NR_163619	Marmoricola
NR_163618	Pseudonocardia
NR_163617	Glycomyces
NR_163616	Stackebrandtia
NR_163615	Blastococcus
NR_163614	Cryobacterium
NR_163613	Parolsenella
NR_163612	Georgenia
NR_163611	Jatrophihabitans
NR_163610	Frankia
NR_163609	Micromonospora
NR_163608	Tessaracoccus
NR_163607	Microbacterium
NR_163606	Actinorectispora
NR_163605	Thaumasiovibrio
NR_163604	Thaumasiovibrio
NR_163603	Crenobacter
NR_163602	Crenobacter
NR_159327	Nemorincola
NR_117943	Profundimonas
NR_117837	Halomonas
NR_109048	Thermosyntropha
NR_108844	Halomonas
NR_117841	Fusobacterium
NR_117290	Fusobacterium
NR_115068	Fusobacterium
NR_043591	Parashewanella
NR_119037	Filifactor
NR_118735	Gottschalkia
NR_118718	Treponema
NR_115038	Clavibacter
NR_114837	Streptomyces
NR_114824	Streptomyces
NR_114525	Actinomadura
NR_113853	Paenibacillus
NR_044723	Methanoculleus
NR_044680	Desulfosarcina
NR_044727	Methanoplanus
NR_044726	Methanomicrobium
NR_044720	Methanothermococcus
NR_160537	Polyangium
NR_160536	Polyangium
NR_160524	Robertkochia
NR_160523	Orrella
NR_160522	Polyangium
NR_159926	Pectobacterium
NR_159925	Pectobacterium
NR_159924	Hymenobacter
NR_159923	Muricauda
NR_159922	Defluviimonas
NR_159921	Simplicispira
NR_159920	Uliginosibacterium
NR_159919	Acinetobacter
NR_159918	Halioglobus
NR_159917	Litorimonas
NR_159916	Roseomonas
NR_159915	Sandarakinorhabdus
NR_159914	Nannocystis
NR_159913	Desulfovibrio
NR_159912	Brevundimonas
NR_159911	Deinococcus
NR_159910	Paenibacillus
NR_159909	Paenibacillus
NR_159908	Desulfothermobacter
NR_159907	Bacillus
NR_159906	Bacillus
NR_159905	Proteiniborus
NR_159904	Bacillus
NR_159903	Ornithinibacillus
NR_159902	Xylanibacillus
NR_159901	Xylanibacillus
NR_159900	Xylanibacillus
NR_159899	Xylanibacillus
NR_159898	Spirosoma
NR_159897	Flavisolibacter
NR_159896	Flavobacterium
NR_159895	Dokdonia
NR_159894	Aquimarina
NR_159893	Pedobacter
NR_159892	Chryseobacterium
NR_159891	Terrimonas
NR_159890	Flavobacterium
NR_159889	Euzebyella
NR_159888	Arenibacter
NR_159887	Chitinophaga
NR_159886	Longivirga
NR_159885	Saccharopolyspora
NR_159884	Tsukamurella
NR_159883	Tsukamurella
NR_159882	Actinotalea
